date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-07-03,TSLA,393.45,,917585,638505,916858,644797,458163838.0,656565910.0,0.6959,0.7033,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,WMT,111.84,,155394,54585,186718,191148,17628785.0,12519276.0,0.3513,1.0237,6,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,XOM,137.09,,26396,13831,142855,91444,3852013.0,10310093.0,0.524,0.6401,6,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,AAPL,308.63,294.12,501087,295312,982808,554849,346347388.0,50685613.0,0.5893,0.5646,8,0.3054,0.0071,0.0831,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,AMZN,242.67,241.61,237481,86291,1127299,472534,115590852.0,47215688.0,0.3634,0.4192,8,0.4201,-0.0311,0.1143,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,GOOGL,359.91,359.48,91581,43637,550495,357258,58316719.0,22913938.0,0.4765,0.649,8,0.4252,-0.0245,0.1156,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,JPM,334.47,338.02,43273,11335,113426,103932,120036037.0,5323482.0,0.2619,0.9163,6,0.2839,0.0334,0.0772,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,META,582.9,607.9,206653,86281,620743,259213,122289612.0,124578976.0,0.4175,0.4176,8,0.4884,-0.0355,0.1328,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,MSFT,390.49,384.48,254124,70971,1177207,423496,162817421.0,52518161.0,0.2793,0.3597,8,0.4438,-0.0133,0.1207,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,NVDA,194.83,197.14,974768,493332,1937842,1594979,214065134.0,173419346.0,0.5061,0.8231,8,0.4018,0.0203,0.1093,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,TSLA,393.45,428.01,917585,638505,916858,644797,458163838.0,656565910.0,0.6959,0.7033,8,0.4811,-0.0074,0.1308,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,WMT,111.84,109.33,155394,54585,186718,191148,17628785.0,12519276.0,0.3513,1.0237,6,0.2608,-0.0132,0.0709,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-04,XOM,137.09,137.15,26396,13831,142855,91444,3852013.0,10310093.0,0.524,0.6401,6,0.306,-0.0088,0.0832,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-06,AAPL,308.63,294.12,457294,279800,1,0,301266446.0,35736331.0,0.6119,0.0,8,0.0156,0.0,0.0041,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,AMZN,242.67,241.61,210965,111718,0,0,102586779.0,106905136.0,0.5296,,8,0.0313,0.0312,0.0082,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,GOOGL,359.91,359.48,83703,44861,0,0,45677642.0,16381194.0,0.536,,8,0.0156,0.0,0.0041,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,JPM,334.47,338.02,44642,11398,589,140,124959572.0,5345641.0,0.2553,0.2377,7,0.0156,0.0,0.0046,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
2026-07-06,META,582.9,607.9,195229,82778,3,21,90537625.0,102646765.0,0.424,7.0,8,0.0156,0.0,0.0041,15.569999694824219,26.809999465942383,40.33000183105469,7537.43017578125,26121.16015625
